Card Name,Card Code,Copies Possessed (out of 3),Promo Obtain Source (if PR in code)
Rose Queen,BP01-001EN,0,
Ancient Elf,BP01-002EN,0,
Ancient Elf,BP01-003EN,0,
Rhinoceroach,BP01-004EN,0,
Rhinoceroach,BP01-005EN,0,
Robin Hood,BP01-006EN,0,
Silver Bolt,BP01-007EN,0,
Homecoming,BP01-008EN,0,
Elven Princess Mage,BP01-009EN,0,
Elven Princess Mage,BP01-010EN,0,
Blessed Fairy Dancer,BP01-011EN,0,
Elf Child May,BP01-012EN,0,
Fairy Beast,BP01-013EN,0,
Noble Fairy,BP01-014EN,0,
Nature's Guidance,BP01-015EN,0,
Harvest Festival,BP01-016EN,0,
Elf Metallurgist,BP01-017EN,0,
Archer,BP01-018EN,0,
Archer,BP01-019EN,0,
Fairy Whisperer,BP01-020EN,0,
Okami,BP01-021EN,0,
Mana Elk,BP01-022EN,0,
Fairy Circle,BP01-023EN,0,
Woodkin Curse,BP01-024EN,0,
Woodland Refuge,BP01-025EN,0,
Sea Queen Otohime,BP01-026EN,0,
Sea Queen Otohime,BP01-027EN,0,
"Aurelia, Regal Saber",BP01-028EN,0,
Shadowed Assassin,BP01-029EN,0,
Shadowed Assassin,BP01-030EN,0,
Frontguard General,BP01-031EN,0,
Alwida's Command,BP01-032EN,0,
Royal Banner,BP01-033EN,0,
Maid Leader,BP01-034EN,0,
Maid Leader,BP01-035EN,0,
Gemstaff Commander,BP01-036EN,0,
Sage Commander,BP01-037EN,0,
Swordsman,BP01-038EN,0,
Pompous Princess,BP01-039EN,0,
Ninja Master,BP01-040EN,0,
Arthurian Light,BP01-041EN,0,
Ninja Trainee,BP01-042EN,0,
Fervid Soldier,BP01-043EN,0,
Fervid Soldier,BP01-044EN,0,
Luminous Knight,BP01-045EN,0,
Veteran Lancer,BP01-046EN,0,
Navy Lieutenant,BP01-047EN,0,
Novice Trooper,BP01-048EN,0,
Forge Weaponry,BP01-049EN,0,
Onslaught,BP01-050EN,0,
Arch Summoner Erasmus,BP01-051EN,0,
Merlin,BP01-052EN,0,
Merlin,BP01-053EN,0,
Ancient Alchemist,BP01-054EN,0,
Ancient Alchemist,BP01-055EN,0,
Arcane Enlightenment,BP01-056EN,0,
Dimension Shift,BP01-057EN,0,
Juno's Secret Laboratory,BP01-058EN,0,
Spectral Wizard,BP01-059EN,0,
Spectral Wizard,BP01-060EN,0,
Flame Destroyer,BP01-061EN,0,
Dragonbond Mage,BP01-062EN,0,
Golem Protection,BP01-063EN,0,
Alchemical Lore,BP01-064EN,0,
Fate's Hand,BP01-065EN,0,
Price of Magic,BP01-066EN,0,
Runic Guardian,BP01-067EN,0,
Crafty Warlock,BP01-068EN,0,
Crafty Warlock,BP01-069EN,0,
Lightning Shooter,BP01-070EN,0,
Wind Blast,BP01-071EN,0,
Sorcery Cache,BP01-072EN,0,
Fiery Embrace,BP01-073EN,0,
Alchemist's Workshop,BP01-074EN,0,
Teachings of Creation,BP01-075EN,0,
Dark Dragoon Forte,BP01-076EN,0,
Dark Dragoon Forte,BP01-077EN,0,
Zirnitra,BP01-078EN,0,
"Aiela, Dragon Knight",BP01-079EN,0,
Genesis Dragon,BP01-080EN,0,
Shapeshifting Mage,BP01-081EN,0,
Shapeshifting Mage,BP01-082EN,0,
Phoenix Roost,BP01-083EN,0,
Wyvern Cavalier,BP01-084EN,0,
Dragonewt Scholar,BP01-085EN,0,
Shenlong,BP01-086EN,0,
Shenlong,BP01-087EN,0,
Imprisoned Dragon,BP01-088EN,0,
Conflagration,BP01-089EN,0,
Serpent Wrath,BP01-090EN,0,
Wyrm Spire,BP01-091EN,0,
Ivory Dragon,BP01-092EN,0,
Ivory Dragon,BP01-093EN,0,
Fire Lizard,BP01-094EN,0,
Ace Dragoon,BP01-095EN,0,
Mist Dragon,BP01-096EN,0,
Dread Dragon,BP01-097EN,0,
Blazing Breath,BP01-098EN,0,
Dragon Wings,BP01-099EN,0,
Dragon Emissary,BP01-100EN,0,
Cerberus,BP01-101EN,0,
Cerberus,BP01-102EN,0,
Lord Atomy,BP01-103EN,0,
Medusa,BP01-104EN,0,
Righteous Devil,BP01-105EN,0,
Righteous Devil,BP01-106EN,0,
Mordecai the Duelist,BP01-107EN,0,
Dire Bond,BP01-108EN,0,
Hell's Unleasher,BP01-109EN,0,
Crazed Executioner,BP01-110EN,0,
Crazed Executioner,BP01-111EN,0,
Dark Summoner,BP01-112EN,0,
Dark General,BP01-113EN,0,
Phantom Howl,BP01-114EN,0,
Death's Breath,BP01-115EN,0,
Soul Conversion,BP01-116EN,0,
Skeleton Fighter,BP01-117EN,0,
Ambling Wraith,BP01-118EN,0,
Spectre,BP01-119EN,0,
Spartoi Sergeant,BP01-120EN,0,
Rabbit Necromancer,BP01-121EN,0,
Wardrobe Raider,BP01-122EN,0,
Wardrobe Raider,BP01-123EN,0,
Undead King,BP01-124EN,0,
Razory Claw,BP01-125EN,0,
Moon Al-mi'raj,BP01-126EN,0,
Jeanne d'Arc,BP01-127EN,0,
Jeanne d'Arc,BP01-128EN,0,
Arch Priestess Laelia,BP01-129EN,0,
Arch Priestess Laelia,BP01-130EN,0,
Themis's Decree,BP01-131EN,0,
Chorus of Prayer,BP01-132EN,0,
Sacred Plea,BP01-133EN,0,
Temple Defender,BP01-134EN,0,
Prism Priestess,BP01-135EN,0,
Prism Priestess,BP01-136EN,0,
Cleric Lancer,BP01-137EN,0,
Shrine Knight Maiden,BP01-138EN,0,
Blackened Scripture,BP01-139EN,0,
Dark Offering,BP01-140EN,0,
Holy Sentinel,BP01-141EN,0,
Cruel Priestess,BP01-142EN,0,
Sister Initiate,BP01-143EN,0,
Mainyu,BP01-144EN,0,
Mainyu,BP01-145EN,0,
Snake Priestess,BP01-146EN,0,
Curate,BP01-147EN,0,
Hallowed Dogma,BP01-148EN,0,
Guardian Sun,BP01-149EN,0,
Death Sentence,BP01-150EN,0,
Gabriel,BP01-151EN,0,
Lucifer,BP01-152EN,0,
Lucifer,BP01-153EN,0,
Flame and Glass,BP01-154EN,0,
Urd,BP01-155EN,0,
Urd,BP01-156EN,0,
Wind God,BP01-157EN,0,
Gilgamesh,BP01-158EN,0,
Bellringer Angel,BP01-159EN,0,
Bellringer Angel,BP01-160EN,0,
Altered Fate,BP01-161EN,0,
Path to Purgatory,BP01-162EN,0,
Lizardman,BP01-163EN,0,
Goblinmount Demon,BP01-164EN,0,
Goblinmount Demon,BP01-165EN,0,
Harnessed Flame,BP01-166EN,0,
Harnessed Glass,BP01-167EN,0,
Demonic Strike,BP01-168EN,0,
Execution,BP01-169EN,0,
Trail of Light,BP01-170EN,0,
Goblin,BP01-171EN,0,
Goblin,BP01-172EN,0,
Fighter,BP01-173EN,0,
Goliath,BP01-174EN,0,
Goliath,BP01-175EN,0,
Angelic Sword Maiden,BP01-176EN,0,
Healing Angel,BP01-177EN,0,
Healing Angel,BP01-178EN,0,
Angelic Snipe,BP01-179EN,0,
Angelic Barrage,BP01-180EN,0,
Arisa,BP01-LD01EN,0,
"Aria, Dancing Fairy",BP01-LD02EN,0,
Erika,BP01-LD03EN,0,
"Aurelia, Blooming Blade",BP01-LD04EN,0,
Isabelle,BP01-LD05EN,0,
"Erasmus, Magical Sage",BP01-LD06EN,0,
Rowen,BP01-LD07EN,0,
"Zirnitra, Zealous Wings",BP01-LD08EN,0,
Luna,BP01-LD09EN,0,
Urias,BP01-LD10EN,0,
Eris,BP01-LD11EN,0,
"Ramina, Crescent Beast",BP01-LD12EN,0,
Homecoming,BP01-P01EN,0,
Elf Child May,BP01-P02EN,0,
Archer,BP01-P03EN,0,
Archer,BP01-P04EN,0,
Fairy Circle,BP01-P05EN,0,
Alwida's Command,BP01-P06EN,0,
Maid Leader,BP01-P07EN,0,
Maid Leader,BP01-P08EN,0,
Sage Commander,BP01-P09EN,0,
Novice Trooper,BP01-P10EN,0,
Dimension Shift,BP01-P11EN,0,
Spectral Wizard,BP01-P12EN,0,
Spectral Wizard,BP01-P13EN,0,
Price of Magic,BP01-P14EN,0,
Sorcery Cache,BP01-P15EN,0,
"Aiela, Dragon Knight",BP01-P16EN,0,
Shenlong,BP01-P17EN,0,
Shenlong,BP01-P18EN,0,
Wyrm Spire,BP01-P19EN,0,
